date,cumcases,cumfatalities,dailycases,dailyfatalities
03/26/20,1394,18,419,6
03/27/20,1731,23,337,5
03/28/20,2048,27,317,4
03/29/20,2552,34,504,7
03/30/20,2874,38,322,4
03/31/20,3266,41,392,3
04/01/20,3996,58,730,17
04/02/20,4665,69,669,11
04/03/20,5324,87,659,18
04/04/20,6112,104,788,17
04/05/20,6793,126,681,22
04/06/20,7273,140,480,14
04/07/20,8261,154,988,14
04/08/20,9353,177,1092,23
04/09/20,10230,199,877,22
04/10/20,11671,226,1441,27
04/11/20,12561,254,890,28
04/12/20,13484,271,923,17
04/13/20,13906,287,422,16
04/14/20,14624,318,718,31
04/15/20,15492,364,868,46
04/16/20,16455,393,963,29
04/17/20,17371,428,916,35
04/18/20,18260,453,889,25
04/19/20,18923,477,663,24
04/20/20,19458,495,535,18
04/21/20,20196,517,738,22
04/22/20,21069,543,873,26
04/23/20,21944,561,875,18
04/24/20,22806,593,862,32
04/25/20,23773,623,967,30
04/26/20,24631,648,858,25
04/27/20,25297,663,666,15
04/28/20,26171,690,874,27
04/29/20,27054,732,883,42
04/30/20,28087,782,1033,50
05/01/20,29229,816,1142,34
05/02/20,30522,847,1293,31
05/03/20,31548,867,1026,20
05/04/20,32332,884,784,17
05/05/20,33369,906,1037,22
05/06/20,34422,948,1053,42
05/07/20,35390,973,968,25
05/08/20,36609,1004,1219,31
05/09/20,37860,1049,1251,45
05/10/20,38869,1088,1009,39
05/11/20,39869,1100,1000,12
05/12/20,41048,1133,1179,33
05/13/20,42403,1158,1355,25
05/14/20,43851,1216,1448,58
05/15/20,45198,1272,1347,56
05/16/20,46999,1305,1801,33
05/17/20,47784,1336,785,31
05/18/20,48693,1347,909,11
05/19/20,49912,1369,1219,22
05/20/20,51323,1419,1411,50
05/21/20,52268,1440,945,21
05/22/20,53449,1480,1181,40
05/23/20,54509,1506,1060,26
05/24/20,55348,1519,839,13
05/25/20,55971,1527,623,8
05/26/20,56560,1536,589,9
05/27/20,57921,1562,1361,26
05/28/20,59776,1601,1855,39
05/29/20,61006,1626,1230,25
05/30/20,62338,1648,1332,22
05/31/20,64287,1672,1949,24
06/01/20,64880,1678,593,6
06/02/20,66568,1698,1688,20
06/03/20,68271,1734,1703,36
06/04/20,69920,1767,1649,33
06/05/20,71613,1788,1693,21
06/06/20,73553,1819,1940,31
06/07/20,74978,1830,1425,11
06/08/20,75616,1836,638,6
06/09/20,77253,1853,1637,17
06/10/20,79757,1885,2504,32
06/11/20,81583,1920,1826,35
06/12/20,83680,1939,2097,19
06/13/20,86011,1957,2331,18
06/14/20,87854,1976,1843,19
06/15/20,89108,1983,1254,7
06/16/20,93206,2029,2622,46
06/17/20,96335,2062,3129,33
06/18/20,99851,2105,3516,43
06/19/20,103305,2140,3454,35
06/20/20,107735,2165,4430,25
06/21/20,111601,2182,3866,17
06/22/20,114881,2192,3280,10
06/23/20,120370,2220,5489,28
06/24/20,125921,2249,5551,29
06/25/20,131917,2296,5996,47
06/26/20,137624,2324,5707,28
06/27/20,143366,2366,5742,42
06/28/20,148723,2393,5357,27
06/29/20,153011,2403,4288,10
06/30/20,159986,2424,6975,21
07/01/20,168062,2481,8076,57
07/02/20,175977,2525,7915,44
07/03/20,183532,2575,7555,50
07/04/20,191790,2608,8258,33
07/05/20,195239,2637,3449,29
07/06/20,200557,2655,5318,18
07/07/20,210585,2715,10028,60
07/08/20,220564,2813,9979,98
07/09/20,230346,2918,9782,105
07/10/20,240111,3013,9765,95
07/11/20,250462,3112,10351,99
07/12/20,258658,3192,8196,80
07/13/20,264313,3235,5655,43
07/14/20,275058,3322,10745,87
07/15/20,282365,3432,10791,110
07/16/20,292656,3561,10291,129
07/17/20,307572,3735,10256,174
07/18/20,317730,3865,10158,130
07/19/20,325030,3958,7300,93
07/20/20,332434,4020,7404,62
07/21/20,341739,4151,9305,131
