orig,date,probable
New Probable 2021-01-01,01-01,16
New Probable 2021-01-02,01-02,3
New Probable 2021-01-03,01-03,1
New Probable 2021-01-04,01-04,9
New Probable 2021-01-05,01-05,2
New Probable 2021-01-06,01-06,0
New Probable 2021-01-07,01-07,6
New Probable 2021-01-08,01-08,-1
New Probable 2021-01-09,01-09,21
New Probable 2021-01-10,01-10,0
New Probable 2021-01-11,01-11,4
New Probable 2021-01-12,01-12,2
New Probable 2021-01-13,01-13,-7
New Probable 2021-01-14,01-14,1
New Probable 2021-01-15,01-15,8
New Probable 2021-01-16,01-16,6
New Probable 2021-01-17,01-17,3
New Probable 2021-01-18,01-18,2
New Probable 2021-01-19,01-19,0
New Probable 2021-01-20,01-20,12
New Probable 2021-01-21,01-21,7
New Probable 2021-01-22,01-22,12
New Probable 2021-01-23,01-23,15
New Probable 2021-01-24,01-24,1
New Probable 2021-01-25,01-25,0
New Probable 2021-01-26,01-26,10
New Probable 2021-01-27,01-27,9
New Probable 2021-01-28,01-28,9
New Probable 2021-01-29,01-29,10
New Probable 2021-01-30,01-30,0
New Probable 2021-01-31,01-31,1
New Probable 2021-02-01,02-01,2
New Probable 2021-02-02,02-02,9
New Probable 2021-02-03,02-03,4
New Probable 2021-02-04,02-04,0
New Probable 2021-02-05,02-05,9
New Probable 2021-02-06,02-06,10
New Probable 2021-02-07,02-07,0
New Probable 2021-02-08,02-08,0
New Probable 2021-02-09,02-09,3
New Probable 2021-02-10,02-10,4
New Probable 2021-02-11,02-11,5
New Probable 2021-02-12,02-12,1
New Probable 2021-02-13,02-13,4
New Probable 2021-02-14,02-14,3
New Probable 2021-02-15,02-15,3
New Probable 2021-02-16,02-16,1
New Probable 2021-02-17,02-17,2
New Probable 2021-02-18,02-18,-1
New Probable 2021-02-19,02-19,0
New Probable 2021-02-20,02-20,0
New Probable 2021-02-21,02-21,5
New Probable 2021-02-22,02-22,3
New Probable 2021-02-23,02-23,8
New Probable 2021-02-24,02-24,7
New Probable 2021-02-25,02-25,4
New Probable 2021-02-26,02-26,2
New Probable 2021-02-27,02-27,5
New Probable 2021-02-28,02-28,4
New Probable 2021-03-01,03-01,0
New Probable 2021-03-02,03-02,8
New Probable 2021-03-03,03-03,2
New Probable 2021-03-04,03-04,-2
New Probable 2021-03-05,03-05,1
New Probable 2021-03-06,03-06,5
New Probable 2021-03-07,03-07,1
New Probable 2021-03-08,03-08,2
New Probable 2021-03-09,03-09,5
New Probable 2021-03-10,03-10,12
New Probable 2021-03-11,03-11,4
New Probable 2021-03-12,03-12,2
New Probable 2021-03-13,03-13,2
New Probable 2021-03-14,03-14,2
New Probable 2021-03-15,03-15,1
New Probable 2021-03-16,03-16,6
New Probable 2021-03-17,03-17,2
New Probable 2021-03-18,03-18,5
New Probable 2021-03-19,03-19,1
New Probable 2021-03-20,03-20,1
New Probable 2021-03-21,03-21,1
New Probable 2021-03-22,03-22,1
New Probable 2021-03-23,03-23,9
New Probable 2021-03-24,03-24,0
New Probable 2021-03-25,03-25,2
New Probable 2021-03-26,03-26,5
New Probable 2021-03-27,03-27,1
New Probable 2021-03-28,03-28,-1
New Probable 2021-03-29,03-29,3
New Probable 2021-03-30,03-30,6
New Probable 2021-03-31,03-31,1
New Probable 2021-04-01,04-01,4
New Probable 2021-04-02,04-02,0
New Probable 2021-04-03,04-03,0
New Probable 2021-04-04,04-04,0
New Probable 2021-04-05,04-05,1
New Probable 2021-04-06,04-06,1
New Probable 2021-04-07,04-07,0
New Probable 2021-04-08,04-08,1
New Probable 2021-04-09,04-09,2
New Probable 2021-04-10,04-10,2
New Probable 2021-04-11,04-11,4
New Probable 2021-04-12,04-12,1
New Probable 2021-04-13,04-13,0
New Probable 2021-04-14,04-14,3
New Probable 2021-04-15,04-15,1
New Probable 2021-04-16,04-16,1
New Probable 2021-04-17,04-17,3
New Probable 2021-04-18,04-18,0
New Probable 2021-04-19,04-19,1
New Probable 2021-04-20,04-20,7
New Probable 2021-04-21,04-21,9
New Probable 2021-04-22,04-22,5
New Probable 2021-04-23,04-23,2
New Probable 2021-04-24,04-24,3
New Probable 2021-04-25,04-25,0
New Probable 2021-04-26,04-26,0
New Probable 2021-04-27,04-27,2
New Probable 2021-04-28,04-28,2
New Probable 2021-04-29,04-29,2
New Probable 2021-04-30,04-30,3
New Probable 2021-05-01,05-01,5
New Probable 2021-05-02,05-02,0
New Probable 2021-05-03,05-03,0
New Probable 2021-05-04,05-04,0
New Probable 2021-05-05,05-05,1
New Probable 2021-05-06,05-06,-1
New Probable 2021-05-07,05-07,1
New Probable 2021-05-08,05-08,5
New Probable 2021-05-09,05-09,1
New Probable 2021-05-10,05-10,0
New Probable 2021-05-11,05-11,0
New Probable 2021-05-12,05-12,2
New Probable 2021-05-13,05-13,0
New Probable 2021-05-14,05-14,1
New Probable 2021-05-15,05-15,0
New Probable 2021-05-16,05-16,1
New Probable 2021-05-17,05-17,1
New Probable 2021-05-18,05-18,3
New Probable 2021-05-19,05-19,0
New Probable 2021-05-20,05-20,0
New Probable 2021-05-21,05-21,2
New Probable 2021-05-22,05-22,0
New Probable 2021-05-23,05-23,0
New Probable 2021-05-24,05-24,2
New Probable 2021-05-25,05-25,-1
New Probable 2021-05-26,05-26,1
New Probable 2021-05-27,05-27,0
New Probable 2021-05-28,05-28,0
New Probable 2021-05-29,05-29,-1
New Probable 2021-05-30,05-30,0
New Probable 2021-05-31,05-31,1
New Probable 2021-06-01,06-01,0
New Probable 2021-06-02,06-02,2
New Probable 2021-06-03,06-03,0
New Probable 2021-06-04,06-04,0
New Probable 2021-06-05,06-05,0
New Probable 2021-06-06,06-06,0
New Probable 2021-06-07,06-07,0
New Probable 2021-06-08,06-08,0
New Probable 2021-06-09,06-09,1
New Probable 2021-06-10,06-10,0
New Probable 2021-06-11,06-11,0
New Probable 2021-06-12,06-12,0
New Probable 2021-06-13,06-13,2
New Probable 2021-06-14,06-14,0
New Probable 2021-06-15,06-15,-1
New Probable 2021-06-16,06-16,1
New Probable 2021-06-17,06-17,0
New Probable 2021-06-18,06-18,0
New Probable 2021-06-19,06-19,18
New Probable 2021-06-20,06-20,0
New Probable 2021-06-21,06-21,0
New Probable 2021-06-22,06-22,1
New Probable 2021-06-23,06-23,0
New Probable 2021-06-24,06-24,1
New Probable 2021-06-25,06-25,2
New Probable 2021-06-26,06-26,3
New Probable 2021-06-27,06-27,-1
New Probable 2021-06-28,06-28,1
New Probable 2021-06-29,06-29,0
New Probable 2021-06-30,06-30,2
New Probable 2021-07-01,07-01,2
New Probable 2021-07-02,07-02,0
New Probable 2021-07-03,07-03,0
New Probable 2021-07-04,07-04,0
New Probable 2021-07-05,07-05,0
New Probable 2021-07-06,07-06,0
New Probable 2021-07-07,07-07,0
New Probable 2021-07-08,07-08,0
New Probable 2021-07-09,07-09,0
New Probable 2021-07-10,07-10,0
New Probable 2021-07-11,07-11,0
New Probable 2021-07-12,07-12,1
New Probable 2021-07-13,07-13,0
New Probable 2021-07-14,07-14,0
New Probable 2021-07-15,07-15,0
New Probable 2021-07-16,07-16,3
New Probable 2021-07-17,07-17,0
New Probable 2021-07-18,07-18,0
New Probable 2021-07-19,07-19,0
New Probable 2021-07-20,07-20,1
New Probable 2021-07-21,07-21,0
New Probable 2021-07-22,07-22,1
New Probable 2021-07-23,07-23,0
New Probable 2021-07-24,07-24,3
New Probable 2021-07-25,07-25,1
New Probable 2021-07-26,07-26,0
New Probable 2021-07-27,07-27,2
New Probable 2021-07-28,07-28,4
New Probable 2021-07-29,07-29,1
New Probable 2021-07-30,07-30,9
New Probable 2021-07-31,07-31,4
New Probable 2021-08-01,08-01,-1
New Probable 2021-08-02,08-02,3
New Probable 2021-08-03,08-03,5
New Probable 2021-08-04,08-04,15
New Probable 2021-08-05,08-05,2
New Probable 2021-08-06,08-06,4
New Probable 2021-08-07,08-07,10
New Probable 2021-08-08,08-08,0
New Probable 2021-08-09,08-09,-1
New Probable 2021-08-10,08-10,20
